####################
Server enviorment local
Database connection  local
####################
13:47:48 DELETE /user/users/53
13:50:02 DELETE /user/users/53
13:50:07 GET /
13:50:07 GET /media/england.png
13:50:07 GET /media/norway.png
13:50:07 GET /media/spain.png
13:50:07 GET /user/avatar
13:50:07 GET /translations/en.json
13:50:10 GET /user/users
13:50:14 DELETE /user/users/null
####################
Server enviorment local
Database connection  local
####################
13:50:32 GET /
13:50:32 GET /media/england.png
13:50:32 GET /media/norway.png
13:50:32 GET /media/spain.png
13:50:33 GET /user/avatar
13:50:33 GET /translations/en.json
13:50:36 DELETE /user/users/null
####################
Server enviorment local
Database connection  local
####################
13:50:55 GET /
13:50:55 GET /media/england.png
13:50:55 GET /media/norway.png
13:50:56 GET /media/spain.png
13:50:56 GET /user/avatar
13:50:56 GET /translations/en.json
